year,month,altm,temp,hud,wdir,wspd,vis
2019,2019-01,1020.2543826162479,17.431467591957922,82.93389974628441,98.97428601147139,2.8013895266663407,6.176631922175494
2019,2019-02,1014.6024227131566,21.94963919362211,85.21679766274099,108.93340290661719,3.837267836976688,7.044597399236376
2019,2019-03,1012.6289154405439,22.147744314848822,83.43697934239225,95.7971438372352,3.3112724953576413,6.709510017694108
2019,2019-04,1008.3861243812761,26.862849089951492,85.19275591399447,110.01590727477456,3.6720983948672745,7.97991069158403
2019,2019-05,1006.1390231710008,27.45170081399044,82.98463967464669,98.81511695799915,3.115026213851599,8.432474201036614
2019,2019-06,1002.4193565270223,30.404287811095593,78.64862836438922,114.83927312517129,3.2632198496901013,9.108804347826087
2019,2019-07,1001.5987549039627,30.4710815153081,77.6465425684893,130.76151342751882,3.010813235754182,9.268585962707354
2019,2019-08,1002.0872913653964,29.21127563928797,82.4379617699857,166.34259185845275,2.7398848319131295,8.662887648896954
2019,2019-09,1009.6314316729396,28.38228469927369,73.62578108604002,186.39326291943405,2.5575005003272597,8.275627487214056
2019,2019-10,1013.9905330591874,25.73618719236891,78.33039398149525,142.45028263793492,2.829503580927328,8.043685727211692
2019,2019-11,1016.5177766926292,22.698335382554657,74.116682010009,132.56985536107055,2.860907571231807,7.639115801448517
2019,2019-12,1019.5280917267243,18.76785613093467,69.84767404560532,152.71175363128373,2.893425337324356,6.783193624787243
2020,2020-01,1017.3938407767686,19.201059398943617,78.2182502960406,117.1399014238388,3.2638447837154194,6.986733027876547
2020,2020-02,1018.6151320358277,19.266755395371348,79.55074333988168,129.2624317113487,2.876138870072825,6.230875625498937
2020,2020-03,1012.1307679467643,22.618832530932078,82.53255754696572,109.02405011503427,3.2737949421398707,6.947792037030292
2020,2020-04,1014.8625024818888,21.847996460771395,80.33341040566422,144.68100372560093,2.984711155213073,7.3510626912161445
2020,2020-05,1006.094843597263,28.85658655276468,76.30820476858347,122.58261613328233,3.4077446980322157,8.774469696969698
2020,2020-06,1002.9091160047681,31.074534553610636,68.57165796160362,122.17604617604617,3.656096288976724,9.449246619925967
2020,2020-07,1004.1489046951181,30.875177820076136,69.13831229546517,133.03984672410337,3.495285680892272,9.355108779135776
2020,2020-08,1003.6680338005539,28.73490983930564,78.60814559907993,124.23427999745633,3.1137751900789845,8.958926712021032
2020,2020-09,1007.1734815546772,28.547154699165564,76.73801799046365,126.92661788694394,2.967396245059289,8.647709195997239
2020,2020-10,1013.0535179231708,24.386054367558582,68.99323972544519,173.44276895381378,3.3609299769888836,9.147730839753983
2020,2020-11,1017.3650369954862,23.296356029236463,67.7714447308984,150.58969929765124,2.831060853715316,7.949927757057334
2020,2020-12,1019.6435759007362,17.9669367980387,62.573738091403435,115.74442848802484,3.2455634256494226,7.690919827939094
2021,2021-01,1019.8940674154466,16.19315377727757,61.3644343510504,138.35032564197698,2.7608645721788854,6.478446892205012
2021,2021-02,1015.9724377334145,20.367475741336683,74.49689078356536,133.4248921640635,2.851636851693038,6.755584425755949
2021,2021-03,1013.1287662489452,22.302110844975502,83.86376196851303,113.90951060393553,3.288552728244172,5.84460373369034
2021,2021-04,1010.9301320660016,25.20915796160362,86.76752972269279,104.25565044858526,3.61888253654558,7.801568715101325
2021,2021-05,1006.2223221495661,29.201746476991918,80.3608297966643,123.91129791199917,3.827442047200111,9.152042881732575
2021,2021-06,1002.2175544803357,30.807134419803095,70.83315942137156,134.35735811747807,3.0310201230553555,9.273150959693316
